match_group_id,match_group_size,match_group_sources,duplicate_status,exact_duplicate_size,recommended_action,is_real_gig_guess,needs_review,review_reason,normalized_date,normalized_time,normalized_venue_key,source_family,source_file,source_row,source_segment,source_status,source_calendar,calendar_event_id,gig_bucket,venue_name,event_name,address_or_location,place_id,original_date,original_time,raw_text
G0001,2,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,1,Same likely gig appears in multiple sources; keep one canonical event,yes,,,2023-12-16,,das weinhaus erhart litchfield,current_sheet_past_gigs,assets/data/jddm-venues.csv,126,1,Booked,,,past,Das Weinhaus,2023-12-16 | COMPLETED | Just Dee Dee Music at Das Weinhaus | Das Weinhaus | historical-2023-12-16-das-weinhaus-just-dee-dee-music-at-das-weinhaus-2,"3232 Erhart Rd, Litchfield, OH, 44253",das-weinhaus-litchfield-oh-44253,2023-12-16 | COMPLETED | Just Dee Dee Music at Das Weinhaus | Das Weinhaus | historical-2023-12-16-das-weinhaus-just-dee-dee-music-at-das-weinhaus-2,2023-12-16 | COMPLETED | Just Dee Dee Music at Das Weinhaus | Das Weinhaus | historical-2023-12-16-das-weinhaus-just-dee-dee-music-at-das-weinhaus-2,2023-12-16 | COMPLETED | Just Dee Dee Music at Das Weinhaus | Das Weinhaus | historical-2023-12-16-das-weinhaus-just-dee-dee-music-at-das-weinhaus-2
G0001,2,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,1,Same likely gig appears in multiple sources; keep one canonical event,yes,,,2023-12-16,,das weinhaus das weinhaus,facebook_chronological,data/staged/JustDeeDeeMusic Chronological Events V2.csv,2,,COMPLETED,,,past,Das Weinhaus,Just Dee Dee Music at Das Weinhaus,Das Weinhaus,,"Saturday, December 16, 2023",Not Listed,"Saturday, December 16, 2023 | Not Listed | Just Dee Dee Music at Das Weinhaus | Das Weinhaus"
G0002,3,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,3,Same likely gig appears in multiple sources; keep one canonical event,yes,,,2024-01-26,,ugly bunny loudonville,current_sheet_past_gigs,assets/data/jddm-venues.csv,459,1,Played in the Past,,,past,Ugly Bunny Winery,2024-01-26 | COMPLETED | JDDM Live @ The Ugly Bunny Winery | 16104 OH-39,"16104 OH-39, Loudonville, OH, 44842",ugly-bunny-winery-loudonville-oh-44842,2024-01-26 | COMPLETED | JDDM Live @ The Ugly Bunny Winery | 16104 OH-39,2024-01-26 | COMPLETED | JDDM Live @ The Ugly Bunny Winery | 16104 OH-39,2024-01-26 | COMPLETED | JDDM Live @ The Ugly Bunny Winery | 16104 OH-39
G0002,3,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,3,Ignore metadata fragment; it points back to the same historical gig,review,yes,"Looks like metadata from the source cell, not a separate gig",2024-01-26,,ugly bunny loudonville,current_sheet_past_gigs,assets/data/jddm-venues.csv,459,3,Played in the Past,,,past,Ugly Bunny Winery,OH 44842 | historical-2024-01-26-the-ugly-bunny-winery-jddm-live-the-ugly-bunny-winery-3,"16104 OH-39, Loudonville, OH, 44842",ugly-bunny-winery-loudonville-oh-44842,OH 44842 | historical-2024-01-26-the-ugly-bunny-winery-jddm-live-the-ugly-bunny-winery-3,OH 44842 | historical-2024-01-26-the-ugly-bunny-winery-jddm-live-the-ugly-bunny-winery-3,OH 44842 | historical-2024-01-26-the-ugly-bunny-winery-jddm-live-the-ugly-bunny-winery-3
G0002,3,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,3,Same likely gig appears in multiple sources; keep one canonical event,yes,,,2024-01-26,,ugly bunny loudonville,facebook_chronological,data/staged/JustDeeDeeMusic Chronological Events V2.csv,3,,COMPLETED,,,past,"16104 OH-39, Loudonville, OH 44842",JDDM Live @ The Ugly Bunny Winery,"16104 OH-39, Loudonville, OH 44842",,"Friday, January 26, 2024",Not Listed,"Friday, January 26, 2024 | Not Listed | JDDM Live @ The Ugly Bunny Winery | 16104 OH-39, Loudonville, OH 44842"
G0003,3,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,2,Same likely gig appears in multiple sources; keep one canonical event,yes,,,2024-01-27,,pint pie works cleveland massillon bath,current_sheet_past_gigs,assets/data/jddm-venues.csv,422,1,Booked,,,past,The Pint & Pie Works,2024-01-27 | COMPLETED | JDDM Live @ The Pint & Pie Works | 1925 N Cleveland Massillon Rd,"1925 North Cleveland Massillon Rd, Bath, OH",the-pint-and-pie-works-bath-oh,2024-01-27 | COMPLETED | JDDM Live @ The Pint & Pie Works | 1925 N Cleveland Massillon Rd,2024-01-27 | COMPLETED | JDDM Live @ The Pint & Pie Works | 1925 N Cleveland Massillon Rd,2024-01-27 | COMPLETED | JDDM Live @ The Pint & Pie Works | 1925 N Cleveland Massillon Rd
G0003,3,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,2,Ignore metadata fragment; it points back to the same historical gig,review,yes,"Looks like metadata from the source cell, not a separate gig",2024-01-27,,pint pie works cleveland massillon bath,current_sheet_past_gigs,assets/data/jddm-venues.csv,422,13,Booked,,,past,The Pint & Pie Works,OH 44333 | historical-2024-01-27-the-pint-pie-works-jddm-live-the-pint-pie-works-4,"1925 North Cleveland Massillon Rd, Bath, OH",the-pint-and-pie-works-bath-oh,OH 44333 | historical-2024-01-27-the-pint-pie-works-jddm-live-the-pint-pie-works-4,OH 44333 | historical-2024-01-27-the-pint-pie-works-jddm-live-the-pint-pie-works-4,OH 44333 | historical-2024-01-27-the-pint-pie-works-jddm-live-the-pint-pie-works-4
G0003,3,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,1,Same likely gig appears in multiple sources; keep one canonical event,yes,,,2024-01-27,,pint pie works cleveland massillon akron,facebook_chronological,data/staged/JustDeeDeeMusic Chronological Events V2.csv,4,,COMPLETED,,,past,"1925 N Cleveland Massillon Rd, Akron, OH 44333",JDDM Live @ The Pint & Pie Works,"1925 N Cleveland Massillon Rd, Akron, OH 44333",,"Saturday, January 27, 2024",Not Listed,"Saturday, January 27, 2024 | Not Listed | JDDM Live @ The Pint & Pie Works | 1925 N Cleveland Massillon Rd, Akron, OH 44333"
G0004,3,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,3,Same likely gig appears in multiple sources; keep one canonical event,yes,,,2024-02-03,,das weinhaus erhart litchfield,current_sheet_past_gigs,assets/data/jddm-venues.csv,126,2,Booked,,,past,Das Weinhaus,2024-02-03 | COMPLETED | JDDM Live @ Das Weinhaus | 3232 Erhart Rd,"3232 Erhart Rd, Litchfield, OH, 44253",das-weinhaus-litchfield-oh-44253,2024-02-03 | COMPLETED | JDDM Live @ Das Weinhaus | 3232 Erhart Rd,2024-02-03 | COMPLETED | JDDM Live @ Das Weinhaus | 3232 Erhart Rd,2024-02-03 | COMPLETED | JDDM Live @ Das Weinhaus | 3232 Erhart Rd
G0004,3,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,3,Ignore metadata fragment; it points back to the same historical gig,review,yes,"Looks like metadata from the source cell, not a separate gig",2024-02-03,,das weinhaus erhart litchfield,current_sheet_past_gigs,assets/data/jddm-venues.csv,126,55,Booked,,,past,Das Weinhaus,OH 44253 | historical-2024-02-03-das-weinhaus-jddm-live-das-weinhaus-5,"3232 Erhart Rd, Litchfield, OH, 44253",das-weinhaus-litchfield-oh-44253,OH 44253 | historical-2024-02-03-das-weinhaus-jddm-live-das-weinhaus-5,OH 44253 | historical-2024-02-03-das-weinhaus-jddm-live-das-weinhaus-5,OH 44253 | historical-2024-02-03-das-weinhaus-jddm-live-das-weinhaus-5
G0004,3,current_sheet_past_gigs; facebook_chronological,cross_source_match_or_duplicate,3,Same likely gig appears in multiple sources; keep one canonical event,yes,,,2024-02-03,,das weinhaus erhart litchfield,facebook_chronological,data/staged/JustDeeDeeMusic Chronological Events V2.csv,5,,COMPLETED,,,past,"3232 Erhart Rd, Litchfield, OH 44253",JDDM Live @ Das Weinhaus,"3232 Erhart Rd, Litchfield, OH 44253",,"Saturday, February 03, 2024",Not Listed,"Saturday, February 03, 2024 | Not Listed | JDDM Live @ Das Weinhaus | 3232 Erhart Rd, Litchfield, OH 44253"
